Generator file sequence number,Data Year,Plant state abbreviation,Plant name,Generator ID,Generator annual net generation (MWh)
SEQGEN23,YEAR,PSTATEABB,PNAME,GENID,GENNTAN
1,2023,AK,Alakanuk,UNIT4,0
2,2023,AK,Allison Creek Hydro,GEN1,"20,961"
3,2023,AK,Ambler,1A,451
4,2023,AK,Ambler,2,338
5,2023,AK,Ambler,3,451
6,2023,AK,Angoon,1A,605
7,2023,AK,Angoon,2A,605
8,2023,AK,Angoon,3,605
9,2023,AK,Aniak,10,712
10,2023,AK,Aniak,11,593
11,2023,AK,Aniak,9,712
12,2023,AK,Annex Creek,5,"3,772"
13,2023,AK,Annex Creek,6,"4,611"
14,2023,AK,Auke Bay,13, (11)
15,2023,AK,Auke Bay,14, (126)
16,2023,AK,Auke Bay,4, (99)
17,2023,AK,Aurora Energy LLC Chena,1,"28,763"
18,2023,AK,Aurora Energy LLC Chena,2,499
19,2023,AK,Aurora Energy LLC Chena,5,"114,098"
20,2023,AK,Barrow,11,"12,947"
21,2023,AK,Barrow,12,"13,486"
22,2023,AK,Barrow,6,"6,743"
23,2023,AK,Barrow,7,"6,743"
24,2023,AK,Barrow,8,"6,743"
25,2023,AK,Battery Energy Storage System,BESS," (2,443)"
26,2023,AK,Beaver Falls,1,"7,870"
27,2023,AK,Beaver Falls,3,"17,314"
28,2023,AK,Beaver Falls,4,"17,314"
29,2023,AK,Beluga,1,27
30,2023,AK,Beluga,2,27
31,2023,AK,Beluga,3,99
32,2023,AK,Beluga,5,115
33,2023,AK,Beluga,6,129
34,2023,AK,Beluga,7,129
35,2023,AK,Bernice Lake,2,0
36,2023,AK,Bernice Lake,3,0
37,2023,AK,Bernice Lake,4,0
38,2023,AK,Bethel,1,"7,323"
39,2023,AK,Bethel,2,"7,323"
40,2023,AK,Bethel,3,"7,323"
41,2023,AK,Bethel,4,"7,323"
42,2023,AK,Bethel,6,"7,323"
43,2023,AK,Bethel,7,"7,323"
44,2023,AK,Black Bear Lake,1,"20,403"
45,2023,AK,Blue Lake Hydro,3,"26,765"
46,2023,AK,Blue Lake Hydro,4,"26,765"
47,2023,AK,Blue Lake Hydro,5,"26,765"
48,2023,AK,Bradley Lake,1,"197,540"
49,2023,AK,Bradley Lake,2,"197,540"
50,2023,AK,Brevig Mission,1,270
51,2023,AK,Brevig Mission,2,541
52,2023,AK,Brevig Mission,3A,541
53,2023,AK,Centennial,IC7,283
54,2023,AK,Chester Lake,1,"4,521"
55,2023,AK,Chevak,1A,860
56,2023,AK,Chevak,2A,860
57,2023,AK,Chevak,3A,"1,376"
58,2023,AK,Cooper Lake,1,"23,195"
59,2023,AK,Cooper Lake,2,"23,195"
60,2023,AK,Craig (AK),1,238
61,2023,AK,Craig (AK),3B,714
62,2023,AK,Craig (AK),5,436
63,2023,AK,Craig (AK),6,436
64,2023,AK,Delta Power,6,103
65,2023,AK,Delta Wind Farm,EWT1,"1,887"
66,2023,AK,Delta Wind Farm,EWT2,"1,887"
67,2023,AK,Delta Wind Farm,NW1,210
68,2023,AK,Dillingham,10,"1,869"
69,2023,AK,Dillingham,11,"1,699"
70,2023,AK,Dillingham,12,"1,699"
71,2023,AK,Dillingham,13,"1,699"
72,2023,AK,Dillingham,14,"1,699"
73,2023,AK,Dillingham,15,"1,699"
74,2023,AK,Dillingham,16,849
75,2023,AK,Dillingham,17,"3,737"
76,2023,AK,Dillingham,18,"3,737"
77,2023,AK,Dutch Harbor,10,"10,301"
78,2023,AK,Dutch Harbor,11,"10,301"
79,2023,AK,Dutch Harbor,12,"8,716"
80,2023,AK,Dutch Harbor,13,"8,716"
81,2023,AK,Dutch Harbor,15,594
82,2023,AK,Dutch Harbor,8,"2,377"
83,2023,AK,Dutch Harbor,9,"2,377"
84,2023,AK,ESS Battery Microgrid,1, (217)
85,2023,AK,Eielson AFB Central Heat & Power Plant,DG01,104
86,2023,AK,Eielson AFB Central Heat & Power Plant,DG02,104
87,2023,AK,Eielson AFB Central Heat & Power Plant,DG03,104
88,2023,AK,Eielson AFB Central Heat & Power Plant,DG04,104
89,2023,AK,Eielson AFB Central Heat & Power Plant,TG3,"14,381"
90,2023,AK,Eielson AFB Central Heat & Power Plant,TG4,"18,068"
91,2023,AK,Eielson AFB Central Heat & Power Plant,TG5,"54,014"
92,2023,AK,Eklutna Generation Station,EGS01,"71,697"
93,2023,AK,Eklutna Generation Station,EGS02,"71,697"
94,2023,AK,Eklutna Generation Station,EGS03,"71,697"
95,2023,AK,Eklutna Generation Station,EGS04,"71,697"
96,2023,AK,Eklutna Generation Station,EGS05,"71,697"
97,2023,AK,Eklutna Generation Station,EGS06,"71,697"
98,2023,AK,Eklutna Generation Station,EGS07,"71,697"
99,2023,AK,Eklutna Generation Station,EGS08,"71,697"
100,2023,AK,Eklutna Generation Station,EGS09,"71,697"
101,2023,AK,Eklutna Generation Station,EGS10,"71,697"
102,2023,AK,Eklutna Hydro Project,1,"98,894"
103,2023,AK,Eklutna Hydro Project,2,"98,894"
104,2023,AK,Elim,3A,588
105,2023,AK,Elim,UNIT1,235
106,2023,AK,Elim,UNIT2,471
107,2023,AK,Emmonak,2A,909
108,2023,AK,Emmonak,4a,909
109,2023,AK,Emmonak,5B,"2,364"
110,2023,AK,Emmonak,6,"1,637"
111,2023,AK,Eva Creek Wind,EVW,"31,127"
112,2023,AK,Eyak Service Center BESS,BESS1, (75)
113,2023,AK,Fairbanks,GT1,"3,196"
114,2023,AK,Fairbanks,GT2,"3,196"
115,2023,AK,Fairbanks,5, (58)
116,2023,AK,Fairbanks,6, (58)
117,2023,AK,False Island,1,176
118,2023,AK,False Island,4,338
119,2023,AK,Fire Island Wind,WT1,"46,280"
120,2023,AK,Flywheel Energy Storage System Microgrid,FESS, (395)
121,2023,AK,Fort Greely Power Plant,EN-4,16
122,2023,AK,Fort Greely Power Plant,EN-5,16
123,2023,AK,Fort Greely Power Plant,EN-6,33
124,2023,AK,Fort Greely Power Plant,EN-7,33
125,2023,AK,Galena Electric Utility,2A,
126,2023,AK,Galena Electric Utility,3B,
127,2023,AK,Galena Electric Utility,4A,
128,2023,AK,Galena Electric Utility,5A,
129,2023,AK,Galena Electric Utility,6B,
130,2023,AK,Gambell,1B,684
131,2023,AK,Gambell,UNIT2,684
132,2023,AK,Gambell,UNIT3,"1,095"
133,2023,AK,George M Sullivan Generation Plant 2,GT8, (69)
134,2023,AK,George M Sullivan Generation Plant 2,11,"196,295"
135,2023,AK,George M Sullivan Generation Plant 2,7,"43,448"
136,2023,AK,George M Sullivan Generation Plant 2,10,"335,811"
137,2023,AK,George M Sullivan Generation Plant 2,9,"335,811"
138,2023,AK,Glennallen,6,"1,607"
139,2023,AK,Glennallen,7,"1,607"
140,2023,AK,Glennallen,8,742
141,2023,AK,Glennallen,9,"1,730"
142,2023,AK,Goat Lake Hydro,1,"15,751"
143,2023,AK,Gold Creek,IC1,1
144,2023,AK,Gold Creek,IC2,1
145,2023,AK,Gold Creek,IC3,1
146,2023,AK,Gold Creek,IC4,4
147,2023,AK,Gold Creek,IC5,1
148,2023,AK,Gold Creek,1,"4,544"
149,2023,AK,Gold Creek,2,"2,272"
150,2023,AK,Gold Creek,3,"2,272"
151,2023,AK,Green Lake,1,"20,890"
152,2023,AK,Green Lake,2,"20,890"
153,2023,AK,Gustavus,1,91
154,2023,AK,Gustavus,2,91
155,2023,AK,Gustavus,3,23
156,2023,AK,Gustavus,4,114
157,2023,AK,Gwitchyaa Zhee,11,352
158,2023,AK,Gwitchyaa Zhee,7,880
159,2023,AK,Gwitchyaa Zhee,8,880
160,2023,AK,Gwitchyaa Zhee,9,352
161,2023,AK,Haines,10,30
162,2023,AK,Haines,11,48
163,2023,AK,Haines,12,38
164,2023,AK,Haines,5,15
165,2023,AK,Haines,7A,71
166,2023,AK,Haines,IC8A,40
167,2023,AK,Hank Nikkels Plant 1,P1 BS,0
168,2023,AK,Hank Nikkels Plant 1,3R,"23,881"
169,2023,AK,Hank Nikkels Plant 1,4,"13,186"
170,2023,AK,Healy Power Plant,IC1,0
171,2023,AK,Healy Power Plant,1,"144,933"
172,2023,AK,Healy Power Plant,2,"230,845"
173,2023,AK,Hiilangaay Hydro,GEN 1,"6,417"
174,2023,AK,Hoonah,2A,"2,120"
175,2023,AK,Hoonah,3A,"1,060"
176,2023,AK,Hoonah,4,"1,060"
177,2023,AK,Hooper Bay,3B,649
178,2023,AK,Hooper Bay,4B,811
179,2023,AK,Hooper Bay,5A,"1,298"
180,2023,AK,Hooper Bay,6,811
181,2023,AK,Houston Solar,HOU,46
182,2023,AK,Humpback Creek,1,"1,229"
183,2023,AK,Humpback Creek,2,"1,229"
184,2023,AK,Humpback Creek,3,492
185,2023,AK,Hydaburg,1A,0
186,2023,AK,Hydaburg,3A,0
187,2023,AK,Hydaburg,5,0
188,2023,AK,Industrial Plant,15, (121)
189,2023,AK,International,1,0
190,2023,AK,JBER Landfill Gas Power Plant,1,"7,784"
191,2023,AK,JBER Landfill Gas Power Plant,2,"7,784"
192,2023,AK,JBER Landfill Gas Power Plant,3,"7,784"
193,2023,AK,JBER Landfill Gas Power Plant,4,"7,784"
194,2023,AK,JBER Landfill Gas Power Plant,5,"7,784"
195,2023,AK,Jarvis Street,1, (65)
196,2023,AK,Jarvis Street,2, (91)
197,2023,AK,Jarvis Street,3, (91)
198,2023,AK,Jarvis Street,4, (147)
199,2023,AK,Jarvis Street,5, (440)
200,2023,AK,Kake,1B,244
201,2023,AK,Kake,2,536
202,2023,AK,Kake,2A,244
203,2023,AK,Kake,3B,244
204,2023,AK,Kake,4,244
205,2023,AK,Kasidaya Creek Hydro,1,"8,774"
206,2023,AK,Kasigluk,1,"1,180"
207,2023,AK,Kasigluk,5A,"1,032"
208,2023,AK,Kasigluk,UNIT2,737
209,2023,AK,Ketchikan,3,"7,474"
210,2023,AK,Ketchikan,4,"7,474"
211,2023,AK,Ketchikan,5,"7,474"
212,2023,AK,Kiana,1B,448
213,2023,AK,Kiana,3B,597
214,2023,AK,Kiana,4,746
215,2023,AK,King Cove,2,250
216,2023,AK,King Cove,5,150
217,2023,AK,King Cove,1,150
218,2023,AK,King Cove,3,350
219,2023,AK,King Cove,4,"2,385"
220,2023,AK,King Cove,6,"1,193"
221,2023,AK,Kivalina,4A,449
222,2023,AK,Kivalina,UNIT1,224
223,2023,AK,Kivalina,UNIT2,336
224,2023,AK,Kivalina,UNIT3,224
225,2023,AK,Kivalina,UNIT4,449
226,2023,AK,Klawock Power Generation Station,1,"1,212"
227,2023,AK,Kodiak Microgrid,1,0
228,2023,AK,Kodiak Microgrid,2c,0
229,2023,AK,Kodiak Microgrid,3c,0
230,2023,AK,Kodiak Microgrid,4,0
231,2023,AK,Kotlik,UNIT1,439
232,2023,AK,Kotlik,UNIT2,439
233,2023,AK,Kotlik,UNIT3,585
234,2023,AK,Kotlik,UNIT4,585
235,2023,AK,Kotzebue Hybrid,10,"5,287"
236,2023,AK,Kotzebue Hybrid,14,"4,934"
237,2023,AK,Kotzebue Hybrid,15,"4,934"
238,2023,AK,Kotzebue Hybrid,16,"2,467"
239,2023,AK,Kotzebue Hybrid,17,"1,234"
240,2023,AK,Kotzebue Hybrid,7A,"1,938"
241,2023,AK,Kotzebue Hybrid,ES1, (2)
242,2023,AK,Kotzebue Hybrid,PV1,0
243,2023,AK,Kotzebue Hybrid,PV10,0
244,2023,AK,Kotzebue Hybrid,PV11,0
245,2023,AK,Kotzebue Hybrid,PV12,0
246,2023,AK,Kotzebue Hybrid,PV13,0
247,2023,AK,Kotzebue Hybrid,PV14,0
248,2023,AK,Kotzebue Hybrid,PV15,0
249,2023,AK,Kotzebue Hybrid,PV16,0
250,2023,AK,Kotzebue Hybrid,PV17,0
251,2023,AK,Kotzebue Hybrid,PV2,0
252,2023,AK,Kotzebue Hybrid,PV3,0
253,2023,AK,Kotzebue Hybrid,PV4,0
254,2023,AK,Kotzebue Hybrid,PV5,0
255,2023,AK,Kotzebue Hybrid,PV6,0
256,2023,AK,Kotzebue Hybrid,PV7,0
257,2023,AK,Kotzebue Hybrid,PV8,0
258,2023,AK,Kotzebue Hybrid,PV9,0
259,2023,AK,Kotzebue Hybrid,11wt,104
260,2023,AK,Kotzebue Hybrid,13WT,104
261,2023,AK,Kotzebue Hybrid,14wt,104
262,2023,AK,Kotzebue Hybrid,15WT,104
263,2023,AK,Kotzebue Hybrid,16WT,104
264,2023,AK,Kotzebue Hybrid,17WT,104
265,2023,AK,Kotzebue Hybrid,18WT,937
266,2023,AK,Kotzebue Hybrid,19WT,937
267,2023,AK,Kotzebue Hybrid,1WT,625
268,2023,AK,Kotzebue Hybrid,2WT,104
269,2023,AK,Kotzebue Hybrid,3WT,208
270,2023,AK,Koyuk,UNIT1,240
271,2023,AK,Koyuk,UNIT2,480
272,2023,AK,Koyuk,UNIT3,600
273,2023,AK,Lake Dorothy Hydroelectric Project,1,"88,602"
274,2023,AK,Lemon Creek,5, (186)
275,2023,AK,Lemon Creek,6, (186)
276,2023,AK,Lemon Creek,1, (45)
277,2023,AK,Lemon Creek,2, (47)
278,2023,AK,Lemon Creek,3, (47)
279,2023,AK,Lemon Creek,7, (51)
280,2023,AK,Lemon Creek,IC10, (51)
281,2023,AK,Lemon Creek,IC11, (51)
282,2023,AK,Lemon Creek,IC12, (51)
283,2023,AK,Lemon Creek,IC8, (51)
284,2023,AK,Lemon Creek,IC9, (51)
285,2023,AK,Marshall,1,721
286,2023,AK,Marshall,2,577
287,2023,AK,Marshall,3,289
288,2023,AK,McGrath,11,506
289,2023,AK,McGrath,12,506
290,2023,AK,McGrath,13,506
291,2023,AK,McGrath,14,506
292,2023,AK,Mountain Village,1,0
293,2023,AK,Mountain Village,4A,0
294,2023,AK,Mountain Village,5A,0
295,2023,AK,Mountain Village,3B,0
296,2023,AK,NSB Anaktuvuk Pass,1,416
297,2023,AK,NSB Anaktuvuk Pass,2,416
298,2023,AK,NSB Anaktuvuk Pass,3,416
299,2023,AK,NSB Anaktuvuk Pass,6,"1,248"
300,2023,AK,NSB Anaktuvuk Pass,7,"1,248"
301,2023,AK,NSB Atqasuk Utility,NA1,572
302,2023,AK,NSB Atqasuk Utility,NA2,572
303,2023,AK,NSB Atqasuk Utility,NA3,254
304,2023,AK,NSB Atqasuk Utility,PG2,254
305,2023,AK,NSB Atqasuk Utility,PG3,381
306,2023,AK,NSB Kaktovik Utility,PG1A,"1,692"
307,2023,AK,NSB Kaktovik Utility,PG2A,"1,692"
308,2023,AK,NSB Kaktovik Utility,PG3A,752
309,2023,AK,NSB Kaktovik Utility,PG4A,752
310,2023,AK,NSB Nuiqsut Utility,PG1A,"1,516"
311,2023,AK,NSB Nuiqsut Utility,PG2A,"1,516"
312,2023,AK,NSB Nuiqsut Utility,PG3A,674
313,2023,AK,NSB Nuiqsut Utility,PG3B,"1,010"
314,2023,AK,NSB Nuiqsut Utility,PG5A,"1,347"
315,2023,AK,NSB Nuiqsut Utility,PG6A,"1,347"
316,2023,AK,NSB Point Hope Utility,PG1A,"2,169"
317,2023,AK,NSB Point Hope Utility,PG6,"1,302"
318,2023,AK,NSB Point Hope Utility,PG7,"1,302"
319,2023,AK,NSB Point Hope Utility,PG8,"1,952"
320,2023,AK,NSB Point Lay Utility,PG10,893
321,2023,AK,NSB Point Lay Utility,PG7,893
322,2023,AK,NSB Point Lay Utility,PG8,893
323,2023,AK,NSB Point Lay Utility,PG9,893
324,2023,AK,NSB Wainwright Utility,PG1,912
325,2023,AK,NSB Wainwright Utility,PG2,912
326,2023,AK,NSB Wainwright Utility,PG3,912
327,2023,AK,NSB Wainwright Utility,PG4A,"2,052"
328,2023,AK,NSB Wainwright Utility,PG5,"2,052"
329,2023,AK,Naknek,4A,"1,850"
330,2023,AK,Naknek,5A,"1,423"
331,2023,AK,Naknek,6A,"1,423"
332,2023,AK,Naknek,7A,"1,423"
333,2023,AK,Naknek,8,"1,423"
334,2023,AK,Naknek,NA1,"1,565"
335,2023,AK,Naknek,NA2,"1,565"
336,2023,AK,Naknek,NA3,"1,138"
337,2023,AK,Naknek,NA4,"1,138"
338,2023,AK,Naknek,NA5,"1,138"
339,2023,AK,Naknek,NA6,"4,696"
340,2023,AK,Naknek,NA7,"4,696"
341,2023,AK,New Stuyahok,1,416
342,2023,AK,New Stuyahok,2A,416
343,2023,AK,New Stuyahok,3A,520
344,2023,AK,New Stuyahok,2,520
345,2023,AK,Newhalen,5,16
346,2023,AK,Newhalen,6,16
347,2023,AK,Newhalen,7,16
348,2023,AK,Newhalen,H-1,"1,563"
349,2023,AK,Newhalen,H-2,"1,563"
350,2023,AK,Nikiski Combined Cycle,GT1,"284,562"
351,2023,AK,Nikiski Combined Cycle,ST1,"132,273"
352,2023,AK,Noatak,4A,735
353,2023,AK,Noatak,5A,735
354,2023,AK,Noatak,UNIT2,441
355,2023,AK,Noorvik,1A,436
356,2023,AK,Noorvik,2B,727
357,2023,AK,Noorvik,3A,"1,018"
358,2023,AK,North Pole,1,"44,192"
359,2023,AK,North Pole,2,"44,192"
360,2023,AK,North Pole,GT3,"292,458"
361,2023,AK,North Pole,STG1,"63,862"
362,2023,AK,Northway,1A,514
363,2023,AK,Northway,2A,206
364,2023,AK,Northway,5,411
365,2023,AK,Nunapitchuk,1A,
366,2023,AK,Nutrien Kenai Nitrogen Operations,744A,
367,2023,AK,Nutrien Kenai Nitrogen Operations,744B,
368,2023,AK,Nutrien Kenai Nitrogen Operations,744C,
369,2023,AK,Nutrien Kenai Nitrogen Operations,744D,
370,2023,AK,Nutrien Kenai Nitrogen Operations,744E,
371,2023,AK,Nymans Plant Microgrid,1,0
372,2023,AK,Nymans Plant Microgrid,2,0
373,2023,AK,Orca,3,"1,289"
374,2023,AK,Orca,4,"1,237"
375,2023,AK,Orca,5,567
376,2023,AK,Orca,6A,773
377,2023,AK,Orca,7,"1,856"
378,2023,AK,Orca,6,567
379,2023,AK,Pelican,IC6,103
380,2023,AK,Pelican,IC7,103
381,2023,AK,Pelican,IC8,51
382,2023,AK,Pelican,HC1,567
383,2023,AK,Pelican,HC2,757
384,2023,AK,Petersburg,IC1,147
385,2023,AK,Petersburg,IC3,68
386,2023,AK,Petersburg,IC4,34
387,2023,AK,Petersburg,IC5,45
388,2023,AK,Petersburg,IC6,147
389,2023,AK,Petersburg,IC7,147
390,2023,AK,Petersburg,IC8,142
391,2023,AK,Petersburg,4,26
392,2023,AK,Petersburg,3,23
393,2023,AK,Pillar Mountain Wind Project Microgrid,1,"12,037"
394,2023,AK,Pillar Mountain Wind Project Microgrid,2,"12,037"
395,2023,AK,Pilot Station,1,730
396,2023,AK,Pilot Station,3A,438
397,2023,AK,Pilot Station,UNIT2,730
398,2023,AK,Port Lions Microgrid,5,
399,2023,AK,Power Creek,4,"9,577"
400,2023,AK,Power Creek,5,"9,577"
401,2023,AK,Purple Lake,1,"4,162"
402,2023,AK,Purple Lake,2,"4,162"
403,2023,AK,Purple Lake,3,"4,162"
404,2023,AK,Quinhagak,1B,709
405,2023,AK,Quinhagak,3A,709
406,2023,AK,Quinhagak,UNIT2,425
407,2023,AK,Quinhagak,UNIT1,567
408,2023,AK,S W Bailey,1, (24)
409,2023,AK,S W Bailey,2, (24)
410,2023,AK,S W Bailey,3, (35)
411,2023,AK,S W Bailey,4, (57)
412,2023,AK,Salmon Creek 1,HY7,"28,811"
413,2023,AK,Sand Point,1,812
414,2023,AK,Sand Point,2,812
415,2023,AK,Sand Point,3,451
416,2023,AK,Sand Point,5.1,361
417,2023,AK,Sand Point,5,631
418,2023,AK,Sand Point,WT1,117
419,2023,AK,Sand Point,WT2,117
420,2023,AK,Savoonga,2A,709
421,2023,AK,Savoonga,UNIT1,567
422,2023,AK,Savoonga,UNIT3,"1,134"
423,2023,AK,Scammon Bay,UNIT1,567
424,2023,AK,Scammon Bay,UNIT2,567
425,2023,AK,Scammon Bay,UNIT3,709
426,2023,AK,Selawik,1B,"1,015"
427,2023,AK,Selawik,2B,634
428,2023,AK,Selawik,3B,"1,141"
429,2023,AK,Seldovia,5,9
430,2023,AK,Seldovia,7,8
431,2023,AK,Seward (AK),3,81
432,2023,AK,Seward (AK),4,81
433,2023,AK,Seward (AK),5,81
434,2023,AK,Seward (AK),6,91
435,2023,AK,Seward (AK),N1,91
436,2023,AK,Seward (AK),N2,81
437,2023,AK,Shishmaref,1,353
438,2023,AK,Shishmaref,2,353
439,2023,AK,Shishmaref,3A,471
440,2023,AK,Shishmaref,4A,589
441,2023,AK,Shungnak,UNIT1,291
442,2023,AK,Shungnak,UNIT2,437
443,2023,AK,Shungnak,UNIT3,437
444,2023,AK,Shungnak,UNIT4,582
445,2023,AK,Silvis,1,"11,460"
446,2023,AK,Skagway,6A,450
447,2023,AK,Skagway,7A,618
448,2023,AK,Skagway,8B,450
449,2023,AK,Skagway,9,562
450,2023,AK,Skagway,1,777
451,2023,AK,Skagway,2,194
452,2023,AK,Skagway,3,583
453,2023,AK,Skagway,4,389
454,2023,AK,Slana Generating Station,1,429
455,2023,AK,Slana Generating Station,2,429
456,2023,AK,Slana Generating Station,4,429
457,2023,AK,Snake River,12,
458,2023,AK,Snake River,14,
459,2023,AK,Snake River,15,
460,2023,AK,Snake River,16,
461,2023,AK,Snake River,18,
462,2023,AK,Snake River,EWT 1,
463,2023,AK,Snake River,EWT 2,
464,2023,AK,Snettisham,1,"91,167"
465,2023,AK,Snettisham,2,"91,167"
466,2023,AK,Snettisham,3,"119,754"
467,2023,AK,Soldotna,3," (1,131)"
468,2023,AK,Soldotna,1,"22,745"
469,2023,AK,Solomon Gulch,1,"16,965"
470,2023,AK,Solomon Gulch,2,"16,965"
471,2023,AK,South Fork,1,"5,437"
472,2023,AK,Southcentral Power Project,1,"272,892"
473,2023,AK,Southcentral Power Project,2,"249,931"
474,2023,AK,Southcentral Power Project,3,"260,797"
475,2023,AK,Southcentral Power Project,4,"121,676"
476,2023,AK,St Marys IC,1C,637
477,2023,AK,St Marys IC,2A,637
478,2023,AK,St Marys IC,3A,"2,293"
479,2023,AK,St Marys IC,4,"2,293"
480,2023,AK,St. Michael,4,
481,2023,AK,Stebbins,1,883
482,2023,AK,Stebbins,2,883
483,2023,AK,Stebbins,3,883
484,2023,AK,Stebbins,4,883
485,2023,AK,Swampy Acres Microgrid,13,0
486,2023,AK,Swampy Acres Microgrid,6A,0
487,2023,AK,Swampy Acres Microgrid,7A,0
488,2023,AK,Swan Lake,1,"35,297"
489,2023,AK,Swan Lake,2,"35,297"
490,2023,AK,TNSG North Plant,13,0
491,2023,AK,TNSG North Plant,CT1,"10,334"
492,2023,AK,TNSG North Plant,CT2,"10,334"
493,2023,AK,TNSG North Plant,CT3,"14,904"
494,2023,AK,TNSG North Plant,CT4,"14,904"
495,2023,AK,TNSG South Plant,1A, (58)
496,2023,AK,TNSG South Plant,2, (33)
497,2023,AK,TNSG South Plant,3, (33)
498,2023,AK,TNSG South Plant,4A, (58)
499,2023,AK,TNSG South Plant,6, (142)
500,2023,AK,Terror Lake Microgrid,1,"45,889"
501,2023,AK,Terror Lake Microgrid,2,"45,889"
502,2023,AK,Terror Lake Microgrid,3,"45,889"
503,2023,AK,Tesoro Kenai Cogeneration Plant,GEN1,"34,606"
504,2023,AK,Tesoro Kenai Cogeneration Plant,GEN2,"34,606"
505,2023,AK,Thorne Bay Plant,2,0
506,2023,AK,Thorne Bay Plant,4,0
507,2023,AK,Togiak,1,677
508,2023,AK,Togiak,2B,677
509,2023,AK,Togiak,3,"1,241"
510,2023,AK,Togiak,4C,564
511,2023,AK,Tok,10,"3,618"
512,2023,AK,Tok,3A,"1,881"
513,2023,AK,Tok,4A,"1,592"
514,2023,AK,Tok,5A,"1,592"
515,2023,AK,Tok,6,724
516,2023,AK,Tok,8,579
517,2023,AK,Tok,9,"1,302"
518,2023,AK,Toksook Bay,1A,"1,469"
519,2023,AK,Toksook Bay,UNIT2,918
520,2023,AK,Toksook Bay,UNIT3,"1,469"
521,2023,AK,Tyee Lake Hydroelectric Facility,UNIT1,"59,545"
522,2023,AK,Tyee Lake Hydroelectric Facility,UNIT2,"59,545"
523,2023,AK,Unalakleet,5,759
524,2023,AK,Unalakleet,6,759
525,2023,AK,Unalakleet,7,759
526,2023,AK,Unalakleet,8,759
527,2023,AK,Unalaska Power Module,7,33
528,2023,AK,Unisea G 2,CAT4,"1,692"
529,2023,AK,Unisea G 2,CAT5,"1,692"
530,2023,AK,Unisea G 2,GEN1,"4,230"
531,2023,AK,Unisea G 2,GEN2,"4,400"
532,2023,AK,Unisea G 2,GEN3,"4,569"
533,2023,AK,Unisea G 2,GEN4,"4,230"
534,2023,AK,Unisea G 2,GEN5,"4,569"
535,2023,AK,Unisea G 2,GEN6,"4,230"
536,2023,AK,University of Alaska Fairbanks,GEN4, (225)
537,2023,AK,University of Alaska Fairbanks,GEN1,0
538,2023,AK,University of Alaska Fairbanks,GEN2,0
539,2023,AK,University of Alaska Fairbanks,GEN3," (1,733)"
540,2023,AK,University of Alaska Fairbanks,GEN5,"70,515"
541,2023,AK,Upper Kalskag,UNIT1,275
542,2023,AK,Upper Kalskag,UNIT2,551
543,2023,AK,Upper Kalskag,UNIT3,689
544,2023,AK,Utility Plants Section,GEN1,"12,076"
545,2023,AK,Utility Plants Section,GEN3,"19,493"
546,2023,AK,Utility Plants Section,GEN4,"21,680"
547,2023,AK,Utility Plants Section,GEN5,"10,771"
548,2023,AK,Valdez,11,"1,619"
549,2023,AK,Valdez,12,"1,619"
550,2023,AK,Valdez,4,"1,923"
551,2023,AK,Valdez,5,"2,631"
552,2023,AK,Valdez,6,911
553,2023,AK,Valdez Cogen,1,"24,008"
554,2023,AK,Viking,1,
555,2023,AK,Westward Seafoods,2,"6,191"
556,2023,AK,Westward Seafoods,3,"6,191"
557,2023,AK,Westward Seafoods,4,"6,191"
558,2023,AK,Whitman,WPG-1,"8,578"
559,2023,AK,Whitman,WPG-2,"1,979"
560,2023,AK,Wrangell,1-N,260
561,2023,AK,Wrangell,11,148
562,2023,AK,Wrangell,12,148
563,2023,AK,Wrangell,13,148
564,2023,AK,Wrangell,9,185
565,2023,AK,Yakutat,2B,"1,313"
566,2023,AK,Yakutat,3A,985
567,2023,AK,Yakutat,6,"1,970"
568,2023,AK,Yakutat,7,"1,970"
569,2023,AL,ABC Coke,1,83
570,2023,AL,AMEA Sylacauga Plant,1,"23,150"
571,2023,AL,AMEA Sylacauga Plant,2,"23,150"
572,2023,AL,ANAD Solar Array,1,"10,742"
573,2023,AL,Alabama Pine Pulp,GEN2,"388,270"
574,2023,AL,Alabama River Pulp,GEN1,"302,916"
575,2023,AL,Albertville,DG1,0
576,2023,AL,Albertville,DG2,0
577,2023,AL,Albertville,DG3,0
578,2023,AL,Albertville,DG4,0
579,2023,AL,Bankhead Dam,1,"138,682"
580,2023,AL,Barry,4,"572,931"
581,2023,AL,Barry,5,"1,119,465"
582,2023,AL,Barry,A1ST,"620,043"
583,2023,AL,Barry,A2ST,"620,043"
584,2023,AL,Barry,A3ST,"984,699"
585,2023,AL,Barry,A1CT,"642,714"
586,2023,AL,Barry,A1CT2,"642,714"
587,2023,AL,Barry,A2C1,"642,714"
588,2023,AL,Barry,A2C2,"642,714"
589,2023,AL,Barry,A3C1,"1,753,200"
590,2023,AL,Barry,1,"217,280"
591,2023,AL,Barry,2,"217,280"
592,2023,AL,Bartletts Ferry,1,"34,419"
593,2023,AL,Bartletts Ferry,2,"34,419"
594,2023,AL,Bartletts Ferry,3,"34,419"
595,2023,AL,Bartletts Ferry,4,"45,892"
596,2023,AL,Bartletts Ferry,5,"123,910"
597,2023,AL,Bartletts Ferry,6,"123,910"
598,2023,AL,Bellefonte,DG-1,
599,2023,AL,Bellefonte,DG-2,
